2025-03-21 16:32:09 +0200 Markos Karampatsis <marka@central.ntua.gr> 3f128dc auth
2025-03-20 12:19:48 +0200 Markos Karampatsis <marka@central.ntua.gr> 3e95c63 auth
2025-03-19 14:04:26 +0200 mkarampatsis <marka@central.ntua.gr> 1dd0158 auth
2025-03-17 19:59:23 +0200 Markos Karampatsis <marka@central.ntua.gr> 2db9e1e helpdesk
2025-03-17 12:35:27 +0200 Markos Karampatsis <marka@central.ntua.gr> 614626c helpbox
2025-03-16 01:03:50 +0200 Markos Karampatsis <marka@central.ntua.gr> a9aaae4 changes
2025-03-14 12:19:56 +0200 mkarampatsis <marka@central.ntua.gr> bda9986 changes
2025-03-04 10:29:46 +0200 mkarampatsis <marka@central.ntua.gr> 51ec090 comments
2025-02-19 09:02:11 +0200 Markos Karampatsis <marka@central.ntua.gr> 6b31875 users
2025-02-18 14:27:32 +0200 Markos Karampatsis <marka@central.ntua.gr> 6e7989a changes
2025-02-18 13:58:05 +0200 Markos Karampatsis <marka@central.ntua.gr> dab72fb changes
2025-02-13 13:27:30 +0200 mkarampatsis <marka@central.ntua.gr> 285ae3b matrix
2025-02-11 13:34:47 +0200 mkarampatsis <marka@central.ntua.gr> c444574 changes
2025-02-07 23:05:51 +0200 Markos Karampatsis <marka@central.ntua.gr> 653c0d2 auth
2025-02-07 22:46:43 +0200 Markos Karampatsis <marka@central.ntua.gr> 3db4dc7 auth
2025-02-07 13:22:35 +0200 mkarampatsis <marka@central.ntua.gr> 69cb21a auth
2025-02-06 23:12:22 +0200 Markos Karampatsis <marka@central.ntua.gr> 5d2d826 gsis
2025-02-06 14:00:53 +0200 mkarampatsis <marka@central.ntua.gr> a0a9676 auth
2025-02-05 15:09:19 +0200 mkarampatsis <marka@central.ntua.gr> 14cb296 reports
2025-02-05 00:26:20 +0200 Markos Karampatsis <marka@central.ntua.gr> c1dc486 report
2025-02-03 11:09:51 +0200 Markos Karampatsis <marka@central.ntua.gr> 42e7d62 Merge-branch-main-of-https-github.com-mkarampatsis-thryallis-frontend
2025-02-03 10:50:03 +0200 Markos Karampatsis <marka@central.ntua.gr> 882106b changes
2025-01-30 15:10:27 +0200 mkarampatsis <marka@central.ntua.gr> 67c6f91 report
2025-01-29 22:42:06 +0200 Markos Karampatsis <marka@central.ntua.gr> a2607db reports
2025-01-28 22:52:32 +0200 Markos Karampatsis <marka@central.ntua.gr> b5e6299 report
2025-01-27 22:58:19 +0200 Markos Karampatsis <marka@central.ntua.gr> 84ede5c changes
2025-01-23 18:32:15 +0200 Markos Karampatsis <marka@central.ntua.gr> d8d10a1 changes
2025-01-23 15:31:08 +0200 mkarampatsis <marka@central.ntua.gr> f18c070 changes
2025-01-22 14:01:20 +0200 mkarampatsis <marka@central.ntua.gr> 39c4080 changes
2025-01-14 14:00:09 +0200 Markos Karampatsis <marka@central.ntua.gr> 1afd154 changes
2025-01-13 13:11:58 +0200 Markos Karampatsis <marka@central.ntua.gr> 95d3e2a imbrovements
2025-01-07 13:48:22 +0200 mkarampatsis <marka@central.ntua.gr> 6e21b17 improvements
2024-12-31 08:53:47 +0200 Markos Karampatsis <marka@central.ntua.gr> cad2fae helpbox
2024-12-30 22:25:31 +0200 Markos Karampatsis <marka@central.ntua.gr> ff16f0c helpbox
2024-12-28 23:40:20 +0200 Markos Karampatsis <marka@central.ntua.gr> 560818c helpbox
2024-12-27 18:41:30 +0200 Markos Karampatsis <marka@central.ntua.gr> 8fe08b5 helpbox
2024-12-27 11:09:24 +0200 Markos Karampatsis <marka@central.ntua.gr> 96aa968 helpbox
2024-12-26 23:57:08 +0200 Markos Karampatsis <marka@central.ntua.gr> d40bd13 helpbox
2024-12-23 13:46:18 +0200 Markos Karampatsis <marka@central.ntua.gr> eeed42a helpbox
2024-12-21 10:12:57 +0200 Markos Karampatsis <marka@central.ntua.gr> 13bb40d helpbox
2024-12-20 23:38:35 +0200 Markos Karampatsis <marka@central.ntua.gr> dd3b688 helpbox
2024-12-20 16:34:50 +0200 Markos Karampatsis <marka@central.ntua.gr> 2542213 helpbox
2024-12-20 10:47:34 +0200 Markos Karampatsis <marka@central.ntua.gr> a30a636 helpbox
2024-12-19 10:18:22 +0200 Markos Karampatsis <marka@central.ntua.gr> 121e555 helpbox
2024-12-18 16:02:54 +0200 Markos Karampatsis <marka@central.ntua.gr> bd19a8a helpbox
2024-12-17 13:50:12 +0200 mkarampatsis <marka@central.ntua.gr> 3c0ca01 helpbox
2024-12-12 12:42:13 +0200 mkarampatsis <marka@central.ntua.gr> 782616d helpbox
2024-12-12 00:09:02 +0200 Markos Karampatsis <marka@central.ntua.gr> 5428172 helpdesk
2024-12-11 11:45:23 +0200 Markos Karampatsis <marka@central.ntua.gr> 978351d helpdesk
2024-12-10 14:11:34 +0200 mkarampatsis <marka@central.ntua.gr> 14c0779 helpbox
2024-12-09 12:44:37 +0200 mkarampatsis <marka@central.ntua.gr> 77abfce helpdesk
2024-12-02 19:18:09 +0200 Markos Karampatsis <marka@central.ntua.gr> 1f906c3 details
2024-11-29 11:19:11 +0200 Markos Karampatsis <marka@central.ntua.gr> 565ce61 search
2024-11-28 16:16:52 +0200 Markos Karampatsis <marka@central.ntua.gr> b9e3275 search
2024-11-27 15:02:07 +0200 mkarampatsis <marka@central.ntua.gr> 53bdd3e search
2024-11-27 13:09:57 +0200 Markos Karampatsis <marka@central.ntua.gr> 30d4fc0 search
2024-11-26 14:23:21 +0200 mkarampatsis <markos@lefkoniko.> b3647a9 search
2024-11-25 20:11:43 +0200 Markos Karampatsis <marka@central.ntua.gr> edbe537 search
2024-11-23 00:28:56 +0200 Markos Karampatsis <marka@central.ntua.gr> 483021f search
2024-11-19 01:02:40 +0200 Markos Karampatsis <marka@central.ntua.gr> 4256a37 search
2024-11-19 00:59:20 +0200 Markos Karampatsis <marka@central.ntua.gr> 960ab6f search
2024-11-18 00:18:58 +0200 Markos Karampatsis <marka@central.ntua.gr> 90fdfbf search
2024-11-15 10:46:37 +0200 Markos Karampatsis <marka@central.ntua.gr> d02c88b search
2024-11-13 00:33:09 +0200 Markos Karampatsis <marka@central.ntua.gr> bd31978 search
